,selection_frequency
SEZ6L2,0.6438095238095238
KCNH1,0.6285714285714286
TGFA,0.5542857142857143
NOG,0.5295238095238095
P2RY14,0.5114285714285715
LANCL2,0.4980952380952381
GRB10,0.4866666666666667
RP11-1055B8.3,0.4847619047619048
GRM5,0.47904761904761906
MDGA1,0.4661904761904762
EIF2D,0.45904761904761904
LINC01598,0.4576190476190476
GS1-57L11.1,0.45
DYRK3,0.4471428571428571
PRDM16,0.4461904761904762
NOS1,0.4438095238095238
CH17-80A12.1,0.4423809523809524
ITGB5,0.42428571428571427
COL14A1,0.42142857142857143
AC005550.3,0.42
IL10,0.4166666666666667
LINC01324,0.4142857142857143
AC129778.2,0.4142857142857143
GRIN2A,0.41095238095238096
MIR219A2,0.40904761904761905
LPL,0.4038095238095238
TFPI,0.3995238095238095
SLC24A4,0.3976190476190476
GFRA2,0.39380952380952383
AQP1,0.39095238095238094
PPFIA2,0.3761904761904762
RP11-148L24.1,0.3628571428571429
GLRA3,0.35428571428571426
RP11-400N13.3,0.35
IRS1,0.34095238095238095
IGSF10,0.32857142857142857
LINC00624,0.319047619047619
RANBP3L,0.31285714285714283
LINC00266-1,0.31238095238095237
XKR4,0.3119047619047619
AC007682.1,0.3061904761904762
SEMA3D,0.30333333333333334
RP11-290O12.2,0.3
SLC6A11,0.2966666666666667
SHC4,0.29428571428571426
RP11-710C12.1,0.2923809523809524
MSC-AS1,0.2914285714285714
CBLN4,0.2895238095238095
EPB41L3,0.28904761904761905
LEMD1,0.2876190476190476
LINC00698,0.2833333333333333
DCC,0.27666666666666667
CCDC80,0.2752380952380952
CTD-2545M3.8,0.2733333333333333
CUX2,0.2723809523809524
MTCP1,0.2719047619047619
FGF12,0.27095238095238094
SLC24A2,0.26571428571428574
ATP8A1,0.2642857142857143
HIF1A-AS2,0.2633333333333333
TP63,0.2623809523809524
STC2,0.26142857142857145
OS9,0.26095238095238094
PDE1A,0.25857142857142856
APOLD1,0.25857142857142856
TPD52L1,0.25761904761904764
ADGRB1,0.2571428571428571
EMP3,0.25523809523809526
GPRC5A,0.2542857142857143
HPSE2,0.2519047619047619
CELF5,0.24952380952380954
CA10,0.24857142857142858
RP5-947P14.1,0.2480952380952381
MT-ND2,0.24476190476190476
PDZRN4,0.24095238095238095
AR,0.24047619047619048
RASL12,0.24047619047619048
KIF11,0.24
ATP10B,0.24
GLDN,0.23904761904761904
RP11-176N18.2,0.23761904761904762
LINC01094,0.2319047619047619
IGFL4,0.2319047619047619
GPR55,0.23095238095238096
ALDH1L1,0.2280952380952381
MECOM,0.2280952380952381
RP11-798M19.6,0.2261904761904762
IQGAP3,0.22285714285714286
TCTEX1D1,0.22095238095238096
GPR17,0.22047619047619046
