,selection_frequency
LINC01266,0.539047619047619
RP11-71N10.1,0.45285714285714285
CHRNA1,0.4504761904761905
RP11-72L22.1,0.44285714285714284
CTD-2541J13.2,0.4261904761904762
P2RY14,0.4180952380952381
RP11-197K3.1,0.36095238095238097
AC005618.6,0.3314285714285714
SGCZ,0.33095238095238094
CH17-80A12.1,0.30428571428571427
EXTL1,0.30095238095238097
IQCA1,0.26666666666666666
RORB,0.2638095238095238
GRIA1,0.2480952380952381
CHSY3,0.24476190476190476
RP11-290O12.2,0.2423809523809524
IGSF10,0.23476190476190475
GULP1,0.2280952380952381
AC002454.1,0.22238095238095237
CTC-575N7.1,0.21857142857142858
STXBP5L,0.20809523809523808
NPNT,0.2019047619047619
TTN,0.18476190476190477
RP11-317N12.1,0.18047619047619048
WBSCR17,0.1761904761904762
TTR,0.17333333333333334
FSIP2,0.16476190476190475
MACROD2,0.15857142857142856
RP5-947P14.1,0.15523809523809523
SLC8A1-AS1,0.1519047619047619
RP11-152L20.3,0.14047619047619048
RD3,0.13714285714285715
CACNA2D3,0.13714285714285715
RP11-281J9.2,0.13238095238095238
RP11-325K19.1,0.12571428571428572
RBMS3,0.12523809523809523
KIRREL3,0.12095238095238095
TMEM132D,0.12095238095238095
CRYAB,0.11952380952380952
KSR2,0.11285714285714285
PAX3,0.11285714285714285
AC092684.1,0.11190476190476191
MT-CO1,0.11047619047619048
UTY,0.10952380952380952
FTH1,0.10904761904761905
ALK,0.10571428571428572
RYR3,0.10476190476190476
CBLN4,0.10476190476190476
ADAMTS18,0.10380952380952381
SEL1L3,0.1019047619047619
RP11-1094M14.10,0.1
CDCA3,0.09571428571428571
HIF3A,0.09380952380952381
RP11-761N21.1,0.08285714285714285
CPNE8,0.08047619047619048
MAPT-AS1,0.08
HS6ST3,0.07761904761904762
RGL1,0.07761904761904762
TTLL10,0.07761904761904762
CDKN1C,0.07666666666666666
ANO5,0.07476190476190477
LPAR6,0.07380952380952381
GRIN2B,0.07333333333333333
HPCAL1,0.0719047619047619
KLHL29,0.06904761904761905
CA2,0.0680952380952381
RP11-141M1.3,0.06761904761904762
FBXO42,0.06666666666666667
SEMA3G,0.06619047619047619
SLC41A1,0.06476190476190476
DTHD1,0.06428571428571428
COL24A1,0.06380952380952382
ABCA8,0.06333333333333334
RP1-101G11.3,0.062380952380952384
MYH9,0.06190476190476191
MYO1F,0.06190476190476191
UNC5C,0.06190476190476191
RP11-515E23.1,0.06190476190476191
AC005550.3,0.060476190476190475
HS3ST4,0.06
RTN1,0.06
PLCG2,0.05904761904761905
ABCA12,0.058095238095238096
ATP10A,0.05761904761904762
PDE6B,0.05714285714285714
LIMK2,0.056666666666666664
FSTL4,0.055714285714285716
CREBZF,0.055714285714285716
SGPP2,0.055714285714285716
TENM3,0.05476190476190476
FAM19A4,0.05333333333333334
KCNE4,0.05285714285714286
IL10,0.05238095238095238
SPRY1,0.04857142857142857
TLL1,0.048095238095238094
DEPTOR,0.048095238095238094
RP1-84O15.2,0.048095238095238094
MT-CO2,0.047619047619047616
RAB8B,0.047142857142857146
TTTY14,0.047142857142857146
ALOX5AP,0.04619047619047619
RP11-231C18.3,0.045714285714285714
HECW2,0.04380952380952381
ACSL3,0.04380952380952381
LSAMP-AS1,0.043333333333333335
RP11-238I10.1,0.04285714285714286
CCDC80,0.04285714285714286
FLG-AS1,0.0419047619047619
LTF,0.0419047619047619
BCAS1,0.041428571428571426
HMMR-AS1,0.04047619047619048
RP11-649A16.1,0.04047619047619048
AJAP1,0.04047619047619048
RERGL,0.04
PTGFR,0.04
CSMD3,0.039523809523809524
RERG,0.039047619047619046
KCNQ5,0.03857142857142857
ITGA10,0.03857142857142857
B2M,0.0380952380952381
RNF219-AS1,0.03761904761904762
RP11-320P7.2,0.03761904761904762
GALNT18,0.037142857142857144
RP11-1085N6.5,0.037142857142857144
ST8SIA4,0.037142857142857144
AC000111.6,0.037142857142857144
GLI1,0.03666666666666667
NFATC2,0.03666666666666667
TMCC3,0.03619047619047619
LINC01324,0.03619047619047619
SLC6A11,0.03619047619047619
OTX2-AS1,0.03619047619047619
AC007319.1,0.03571428571428571
LMNTD1,0.03571428571428571
CTD-2545M3.8,0.03571428571428571
PENK,0.03571428571428571
WI2-80269A6.1,0.03571428571428571
TMEM229B,0.035238095238095235
CDH19,0.03428571428571429
MYO16,0.03428571428571429
NLGN4Y,0.03380952380952381
APOE,0.03380952380952381
MT-ND4,0.03380952380952381
ZFPM2,0.03333333333333333
MIR137HG,0.03333333333333333
ARHGAP24,0.03238095238095238
RNF144B,0.03238095238095238
CLMP,0.03238095238095238
FAM105A,0.03238095238095238
RHPN1,0.03238095238095238
SEPT14,0.03190476190476191
CRISPLD1,0.03190476190476191
RP11-148L24.1,0.03190476190476191
RP11-268G12.3,0.03142857142857143
EFNA5,0.03142857142857143
GRM7,0.03142857142857143
MAPK4,0.03142857142857143
MICAL2,0.03142857142857143
GRIN2A,0.030952380952380953
PLXNA2,0.030952380952380953
MOCS1,0.030952380952380953
MECOM,0.030476190476190476
ZFP36,0.030476190476190476
HBA2,0.03
COL2A1,0.03
FOS,0.03
FXYD5,0.029523809523809525
HMCN2,0.029523809523809525
CNTNAP5,0.029047619047619048
FAM155A,0.02857142857142857
RP11-710C12.1,0.02857142857142857
HPDL,0.02857142857142857
RAB8A,0.02857142857142857
RP11-61I13.3,0.02857142857142857
MTRNR2L1,0.02857142857142857
DACH1,0.028095238095238097
RP11-191L9.4,0.028095238095238097
FAM19A2,0.02761904761904762
CPT1A,0.02761904761904762
ATP10B,0.02761904761904762
FGFR3,0.02761904761904762
LRAT,0.02761904761904762
GNLY,0.02761904761904762
CTD-2332E11.2,0.02761904761904762
LGALS9,0.027142857142857142
ZNF385B,0.027142857142857142
CYP7B1,0.027142857142857142
EFNB2,0.027142857142857142
AGBL1,0.02666666666666667
RPS4Y1,0.02666666666666667
LPIN1,0.02666666666666667
TEX41,0.02666666666666667
GXYLT2,0.02666666666666667
CMTM8,0.02666666666666667
VAT1L,0.02666666666666667
ARHGAP29,0.02666666666666667
UBB,0.02619047619047619
NFASC,0.02619047619047619
COL9A1,0.02619047619047619
RDH10-AS1,0.025714285714285714
RAB7B,0.025714285714285714
CACNG5,0.025238095238095237
C1orf115,0.024761904761904763
MLIP,0.024285714285714285
RUNX2,0.024285714285714285
LEFTY2,0.024285714285714285
AC003991.3,0.024285714285714285
ALDH1L1,0.023809523809523808
SEZ6L,0.023809523809523808
MIR4300HG,0.023809523809523808
DPEP1,0.023333333333333334
NABP1,0.023333333333333334
OR51E1,0.023333333333333334
COL4A2,0.022857142857142857
OTX2,0.022857142857142857
VWCE,0.022857142857142857
GFRA2,0.022857142857142857
RP11-25H12.1,0.022857142857142857
AFF2,0.022857142857142857
SPOCK3,0.022857142857142857
COL4A1,0.022857142857142857
RP11-366L20.2,0.022857142857142857
LINC00535,0.022857142857142857
PDE10A,0.02238095238095238
SNTB1,0.021904761904761906
PRDM16,0.021904761904761906
ZNF208,0.021904761904761906
C8orf34,0.02142857142857143
CALCRL,0.02142857142857143
PCAT4,0.02095238095238095
LINC01088,0.02095238095238095
GRB14,0.020476190476190478
TNFRSF14,0.020476190476190478
RP11-170M17.1,0.02
CADPS,0.02
LINC01568,0.02
OTUD6A,0.02
HBA1,0.02
SGCD,0.02
SNX22,0.019523809523809523
AKT1,0.019523809523809523
CDK16,0.01904761904761905
PANK4,0.01904761904761905
COL15A1,0.01904761904761905
DDX1,0.01904761904761905
SNAP91,0.01904761904761905
C7,0.018571428571428572
NELL1,0.018095238095238095
CDH20,0.018095238095238095
MYCNOS,0.018095238095238095
IL26,0.017619047619047618
ZNF300,0.017619047619047618
CDH13,0.017619047619047618
ZNF347,0.017142857142857144
MDFI,0.017142857142857144
CCBE1,0.017142857142857144
SCN7A,0.017142857142857144
ITGAX,0.017142857142857144
ARHGAP15,0.017142857142857144
FRMPD3,0.017142857142857144
TMEM165,0.016666666666666666
IVNS1ABP,0.016666666666666666
EMILIN2,0.016666666666666666
VRK2,0.016666666666666666
AC105402.4,0.016666666666666666
MARCH1,0.01619047619047619
TSHZ2,0.01619047619047619
MB21D1,0.01619047619047619
PI4KB,0.01619047619047619
COL5A1-AS1,0.015714285714285715
T,0.015714285714285715
CKB,0.015714285714285715
CAMK2A,0.015238095238095238
GSTP1,0.015238095238095238
ARHGEF4,0.015238095238095238
TPH1,0.015238095238095238
ITGA2,0.015238095238095238
CTD-2278I10.6,0.015238095238095238
COX7A1,0.015238095238095238
KCNJ6,0.014761904761904763
CCDC60,0.014761904761904763
RP11-394O4.6,0.014761904761904763
MSRB3,0.014761904761904763
LINGO1,0.014761904761904763
GRID2,0.014285714285714285
KCNIP4,0.014285714285714285
GABRB1,0.014285714285714285
LAMA2,0.014285714285714285
AC012593.1,0.014285714285714285
MTRNR2L8,0.014285714285714285
GALNT13,0.014285714285714285
RASGEF1B,0.014285714285714285
LRRC36,0.01380952380952381
SMARCA5,0.01380952380952381
RP11-394O4.5,0.013333333333333334
TNNT3,0.013333333333333334
CA8,0.013333333333333334
MX2,0.013333333333333334
NCKAP1L,0.013333333333333334
KITLG,0.013333333333333334
EGR1,0.013333333333333334
DNAH6,0.013333333333333334
HES5,0.012857142857142857
RASL12,0.012857142857142857
CKAP2,0.012857142857142857
S100A4,0.012857142857142857
PKIB,0.012857142857142857
HS6ST2,0.012380952380952381
ITPKB,0.012380952380952381
FLRT2,0.012380952380952381
RGS1,0.012380952380952381
OS9,0.012380952380952381
SNRPE,0.012380952380952381
RAB11FIP1,0.012380952380952381
GPR20,0.012380952380952381
SAA2-SAA4,0.011904761904761904
MGAT4C,0.011904761904761904
JUNB,0.011904761904761904
CPNE4,0.011904761904761904
PYGL,0.011904761904761904
CACNA1A,0.011904761904761904
RP11-714L20.1,0.011904761904761904
HCFC1,0.011904761904761904
XKR4,0.011428571428571429
ADAMTS12,0.011428571428571429
SYNPO2,0.010952380952380953
AC010127.3,0.010952380952380953
IGFBP7,0.010952380952380953
RPH3A,0.010952380952380953
MT-ND6,0.010952380952380953
RP11-417F21.2,0.010952380952380953
HS3ST3B1,0.010952380952380953
MT-ND3,0.010952380952380953
DPF1,0.010952380952380953
BRINP1,0.010952380952380953
ELMOD1,0.010952380952380953
TMEM81,0.010952380952380953
SMOC1,0.010476190476190476
STC2,0.010476190476190476
PTCHD4,0.010476190476190476
ZNF730,0.010476190476190476
RPL13,0.010476190476190476
COL14A1,0.010476190476190476
CDKN1A,0.010476190476190476
PRR13,0.010476190476190476
FILIP1,0.010476190476190476
CYSLTR2,0.01
CD2,0.01
ARHGAP44,0.01
MGP,0.01
CTC-340A15.2,0.01
CACNA2D4,0.01
PIEZO2,0.01
RPL8,0.009523809523809525
NKD1,0.009523809523809525
IGFL4,0.009523809523809525
PAX7,0.009523809523809525
DSTYK,0.009523809523809525
INPP5B,0.009523809523809525
HS3ST5,0.009523809523809525
LRRN2,0.009523809523809525
MAP3K9,0.009523809523809525
ITM2B,0.009523809523809525
ADGRV1,0.009523809523809525
MT-CYB,0.009523809523809525
AGBL4,0.009523809523809525
SEC14L2,0.009523809523809525
NR2F2-AS1,0.009523809523809525
PHACTR3,0.009047619047619047
MTRNR2L12,0.009047619047619047
EHD3,0.009047619047619047
GFPT2,0.009047619047619047
MT-ATP6,0.009047619047619047
SIM1,0.009047619047619047
PIK3C2B,0.009047619047619047
RP11-751H17.1,0.009047619047619047
RP11-161I6.2,0.009047619047619047
CNR1,0.009047619047619047
LRRC32,0.009047619047619047
EPHA7,0.008571428571428572
TINAGL1,0.008571428571428572
RPL6,0.008571428571428572
SAPCD2,0.008571428571428572
IFI6,0.008571428571428572
SRGAP2,0.008571428571428572
SLCO2B1,0.008571428571428572
DAPK1,0.008571428571428572
MTCP1,0.008571428571428572
EN1,0.008571428571428572
CELF5,0.008571428571428572
FLNB,0.008571428571428572
AC005487.2,0.008095238095238095
TTK,0.008095238095238095
TEAD2,0.008095238095238095
H2AFZ,0.008095238095238095
NRP2,0.008095238095238095
LAMC3,0.008095238095238095
IER2,0.008095238095238095
CASC15,0.008095238095238095
SDPR,0.008095238095238095
RPS8,0.008095238095238095
BAG6,0.007619047619047619
CH17-125A10.2,0.007619047619047619
HLA-C,0.007619047619047619
ZC3H11A,0.007619047619047619
CAPG,0.007619047619047619
LPAR1,0.007619047619047619
SNRPN,0.007619047619047619
CAMK4,0.007619047619047619
MEG3,0.007142857142857143
SMYD2,0.007142857142857143
BCYRN1,0.007142857142857143
S100B,0.007142857142857143
MYLK2,0.007142857142857143
TCEB2,0.007142857142857143
MT-ND2,0.007142857142857143
DHRS3,0.007142857142857143
SLC28A1,0.007142857142857143
CCDC178,0.007142857142857143
QRFPR,0.007142857142857143
S1PR1,0.007142857142857143
IL4I1,0.007142857142857143
RPL19,0.007142857142857143
RP11-388G22.1,0.007142857142857143
MIR646HG,0.007142857142857143
PSMC3IP,0.007142857142857143
RGCC,0.006666666666666667
RP11-1085N6.4,0.006666666666666667
CNTN5,0.006666666666666667
RP5-921G16.1,0.006666666666666667
KCTD8,0.006666666666666667
HSP90AB1,0.006666666666666667
LDLR,0.006666666666666667
FAM111A,0.006666666666666667
TRPC6,0.006666666666666667
C1orf95,0.006666666666666667
FILIP1L,0.006666666666666667
TENM2,0.006666666666666667
DOCK6,0.006666666666666667
PLEKHH1,0.006666666666666667
MYO1D,0.006666666666666667
ARFGAP1,0.006666666666666667
NDUFB10,0.006666666666666667
DLGAP1-AS4,0.006666666666666667
TBL3,0.006666666666666667
CPA6,0.006190476190476191
MSC-AS1,0.006190476190476191
GCH1,0.006190476190476191
ARL6IP1,0.006190476190476191
AC019117.1,0.006190476190476191
RP11-187O7.3,0.006190476190476191
AFAP1,0.006190476190476191
EYA4,0.006190476190476191
ATP8A1,0.006190476190476191
SLC6A5,0.006190476190476191
GALR1,0.006190476190476191
NOL4L,0.006190476190476191
MT1M,0.006190476190476191
EIF2D,0.006190476190476191
XAF1,0.006190476190476191
CD163,0.006190476190476191
LINC01314,0.006190476190476191
CSMD1,0.006190476190476191
SERPINH1,0.005714285714285714
RPS23,0.005714285714285714
SNCA,0.005714285714285714
AC000032.2,0.005714285714285714
VEGFA,0.005714285714285714
RAB29,0.005714285714285714
RP11-745C15.2,0.005714285714285714
CD40,0.005714285714285714
ADIPOR1,0.005714285714285714
DGKH,0.005714285714285714
RGS6,0.005714285714285714
RGS20,0.005714285714285714
FLJ33581,0.005714285714285714
APCDD1,0.005714285714285714
ARHGAP18,0.005714285714285714
SPATA17,0.005714285714285714
LINC00499,0.005714285714285714
ABI3BP,0.005714285714285714
CXCR4,0.005714285714285714
RP11-244M2.1,0.005238095238095238
MAPK11,0.005238095238095238
RP13-578N3.3,0.005238095238095238
DLC1,0.005238095238095238
POSTN,0.005238095238095238
ALDH6A1,0.005238095238095238
EPHA3,0.005238095238095238
RP11-733C7.1,0.005238095238095238
NR4A1,0.005238095238095238
STAC2,0.005238095238095238
MEF2D,0.005238095238095238
CDH18,0.005238095238095238
TSHR,0.005238095238095238
DNASE1L1,0.005238095238095238
ADGRL2,0.005238095238095238
LIF,0.005238095238095238
RASD1,0.005238095238095238
FP325317.1,0.005238095238095238
RP5-1139I1.1,0.005238095238095238
AP000462.2,0.005238095238095238
SYTL2,0.005238095238095238
ARPP21,0.005238095238095238
RP11-400N13.1,0.005238095238095238
FAM111B,0.005238095238095238
KCNB2,0.004761904761904762
CTD-2507G9.1,0.004761904761904762
ADCY4,0.004761904761904762
CH507-513H4.1,0.004761904761904762
RP11-103J8.1,0.004761904761904762
MIS18BP1,0.004761904761904762
STRA6,0.004761904761904762
SUSD5,0.004761904761904762
RP11-798M19.6,0.004761904761904762
SHISA9,0.004761904761904762
CD24,0.004761904761904762
RASGEF1C,0.004761904761904762
RPLP1,0.004761904761904762
FRMD4B,0.004761904761904762
PDE1A,0.004761904761904762
EMB,0.004761904761904762
KCNB1,0.004761904761904762
ALDH1A1,0.004761904761904762
SYNM,0.004761904761904762
ZNF385D,0.004761904761904762
ZNF563,0.004285714285714286
RCSD1,0.004285714285714286
GAPDH,0.004285714285714286
NOVA2,0.004285714285714286
RP11-443F4.1,0.004285714285714286
PI15,0.004285714285714286
LRRC7,0.004285714285714286
XIST,0.004285714285714286
ANGPT1,0.004285714285714286
RBBP5,0.004285714285714286
ANXA1,0.004285714285714286
TM6SF1,0.004285714285714286
HLA-DRB1,0.004285714285714286
UFD1L,0.004285714285714286
DAB1,0.004285714285714286
NNAT,0.004285714285714286
EMC1,0.004285714285714286
HTR1E,0.004285714285714286
COBLL1,0.004285714285714286
METTL3,0.004285714285714286
NEU4,0.004285714285714286
CCSER1,0.004285714285714286
PAQR8,0.004285714285714286
MOXD1,0.004285714285714286
ST3GAL1,0.004285714285714286
CASC9,0.004285714285714286
RPL7A,0.004285714285714286
REPS2,0.004285714285714286
CTD-2277K2.1,0.0038095238095238095
NKAIN4,0.0038095238095238095
FN1,0.0038095238095238095
RBPMS,0.0038095238095238095
AC072062.1,0.0038095238095238095
RP11-466I1.1,0.0038095238095238095
CYB5D2,0.0038095238095238095
CTC-550B14.7,0.0038095238095238095
DHFR,0.0038095238095238095
RP11-418I22.2,0.0038095238095238095
DYRK3,0.0038095238095238095
HAPLN1,0.0038095238095238095
GLYATL2,0.0038095238095238095
GNA14,0.0038095238095238095
EFCAB3,0.0038095238095238095
FMN1,0.0038095238095238095
RP11-176N18.2,0.0038095238095238095
TMTC1,0.0038095238095238095
C10orf11,0.0038095238095238095
MDGA1,0.0038095238095238095
SYK,0.0038095238095238095
NOV,0.0038095238095238095
ZNF395,0.0033333333333333335
CLVS1,0.0033333333333333335
CNTN4,0.0033333333333333335
TRAC,0.0033333333333333335
SLC16A10,0.0033333333333333335
TFCP2L1,0.0033333333333333335
CHRNA7,0.0033333333333333335
NHS,0.0033333333333333335
MIR222HG,0.0033333333333333335
F11-AS1,0.0033333333333333335
RP11-739N20.2,0.0033333333333333335
SLC38A5,0.0033333333333333335
SSR4,0.0033333333333333335
GLRA2,0.0033333333333333335
BTBD11,0.0033333333333333335
DACH2,0.0033333333333333335
TUBB4B,0.0033333333333333335
CABLES1,0.0033333333333333335
APOD,0.0033333333333333335
KCNH7,0.0033333333333333335
RPL29,0.0033333333333333335
PLD5,0.0033333333333333335
FOXC2,0.0033333333333333335
PRICKLE1,0.0033333333333333335
FAM189A2,0.0033333333333333335
RP11-101O21.1,0.0033333333333333335
PVT1,0.0033333333333333335
RP11-91I8.3,0.0033333333333333335
CGNL1,0.0033333333333333335
COL22A1,0.0033333333333333335
SPDYA,0.0033333333333333335
UHRF1,0.0033333333333333335
CXCL1,0.0033333333333333335
MPZL2,0.0033333333333333335
RCAN2,0.0033333333333333335
RP11-284F21.9,0.002857142857142857
RGS7,0.002857142857142857
RP11-63G10.3,0.002857142857142857
TPRX1,0.002857142857142857
NOS2,0.002857142857142857
PHLDB2,0.002857142857142857
SYT6,0.002857142857142857
SERPINI2,0.002857142857142857
TMEM132C,0.002857142857142857
SLFN12L,0.002857142857142857
FBLN1,0.002857142857142857
RP11-627D16.1,0.002857142857142857
CLCF1,0.002857142857142857
RANBP17,0.002857142857142857
ST6GALNAC5,0.002857142857142857
LRRC2,0.002857142857142857
POLR2F,0.002857142857142857
NTNG1,0.002857142857142857
CFH,0.002857142857142857
ISLR,0.002857142857142857
RDH10,0.002857142857142857
PTPRO,0.002857142857142857
TRIM47,0.002857142857142857
