,selection_frequency
IGFL4,0.41904761904761906
SLC24A4,0.3233333333333333
CUX2,0.29523809523809524
PRDM16,0.2914285714285714
IL10,0.2680952380952381
CBLN4,0.23952380952380953
NOG,0.18
RP11-443F4.1,0.14904761904761904
GPRC5A,0.14523809523809525
CTD-2545M3.8,0.13333333333333333
PDE1A,0.13285714285714287
CELF5,0.1319047619047619
CLVS2,0.1280952380952381
CPLX1,0.1138095238095238
EIF2D,0.10666666666666667
SLC24A2,0.10428571428571429
GRM5,0.10095238095238095
MDGA1,0.0980952380952381
RAB26,0.09523809523809523
RIT2,0.08571428571428572
DCX,0.07904761904761905
MIR219A2,0.06952380952380953
RP11-1055B8.3,0.06857142857142857
NHLH1,0.06428571428571428
CA10,0.06333333333333334
WNK2,0.06190476190476191
TGFA,0.06095238095238095
MYT1,0.060476190476190475
KCNT1,0.055714285714285716
LINC00698,0.05380952380952381
RPH3A,0.05380952380952381
OLIG1,0.05
HK2,0.05
TTYH2,0.048095238095238094
RP11-400N13.3,0.04619047619047619
GRB10,0.04523809523809524
COL28A1,0.04428571428571428
GPR17,0.041428571428571426
PAK3,0.04
DRAXIN,0.037142857142857144
ATCAY,0.03619047619047619
GEM,0.035238095238095235
DCC,0.029523809523809525
SAA2-SAA4,0.028095238095238097
LINC01598,0.02761904761904762
MIR4300HG,0.025238095238095237
SNX22,0.024285714285714285
SPC25,0.023333333333333334
ADARB2,0.02238095238095238
MYO1E,0.02142857142857143
TFCP2L1,0.020476190476190478
PIEZO2,0.01904761904761905
CNTN1,0.01904761904761905
ZNF385B,0.017619047619047618
COL20A1,0.016666666666666666
DYRK3,0.01619047619047619
MAFB,0.015238095238095238
LEMD1,0.014761904761904763
ERO1A,0.01380952380952381
GPC5,0.01380952380952381
SH2D3C,0.01380952380952381
RERG,0.013333333333333334
PGK1,0.013333333333333334
ATP10B,0.013333333333333334
PLOD2,0.012857142857142857
GLRA3,0.012857142857142857
NELL1,0.012380952380952381
NOS1,0.011904761904761904
DAAM2,0.011428571428571429
NDRG1,0.011428571428571429
BTBD11,0.010952380952380953
GRIN2A,0.010952380952380953
SLC8A3,0.010952380952380953
FAM189A2,0.010476190476190476
NGF,0.01
LTBP1,0.01
CCDC3,0.01
EBF2,0.01
ATP1A3,0.009523809523809525
CTC-458G6.2,0.009523809523809525
PTPRN2,0.009047619047619047
CXCL8,0.009047619047619047
AC002429.5,0.008571428571428572
RP4-655C5.9,0.008571428571428572
CNTNAP5,0.008571428571428572
LANCL2,0.008095238095238095
TMEM132D,0.008095238095238095
VEPH1,0.008095238095238095
ST8SIA5,0.008095238095238095
EEPD1,0.007619047619047619
LMO1,0.007619047619047619
SMOC1,0.007142857142857143
MYO5B,0.007142857142857143
MTRNR2L1,0.006666666666666667
ANO3,0.006666666666666667
