,selection_frequency
RP11-443F4.1,0.3880952380952381
AC012593.1,0.2542857142857143
RP11-761N21.1,0.23476190476190475
RP11-1094M14.10,0.21571428571428572
HS6ST3,0.19095238095238096
AC092684.1,0.18904761904761905
TMEM132D,0.18523809523809523
AC105402.4,0.18285714285714286
ISLR,0.1680952380952381
CACNG5,0.16476190476190475
SEMA3G,0.16333333333333333
IGF2BP1,0.14809523809523809
MTRNR2L8,0.13
CDKN1C,0.11285714285714285
GRM7,0.0919047619047619
JUNB,0.07428571428571429
RP1-101G11.3,0.0719047619047619
TINAGL1,0.06952380952380953
CXCL8,0.06714285714285714
SAA2-SAA4,0.05952380952380952
AC000111.6,0.04285714285714286
FOXC2,0.040952380952380955
RP11-47I22.2,0.03619047619047619
CHRNA1,0.03571428571428571
CBLN4,0.03571428571428571
BCAS1,0.03333333333333333
ADAMTS18,0.032857142857142856
CACNA2D3,0.03238095238095238
LRRIQ1,0.030952380952380953
TTLL10,0.030476190476190476
IQCA1,0.029047619047619048
MPZL2,0.029047619047619048
SPOCK1,0.02857142857142857
KBTBD12,0.02857142857142857
RAB29,0.027142857142857142
SPOCK3,0.027142857142857142
C7,0.02619047619047619
OR51E1,0.025714285714285714
RP11-733C7.1,0.023809523809523808
IL10,0.023809523809523808
FSIP2,0.02238095238095238
MIR4300HG,0.02238095238095238
LTF,0.020476190476190478
SDPR,0.01904761904761905
SGPP2,0.01904761904761905
RP11-314B1.2,0.018095238095238095
OTUD6A,0.016666666666666666
ARHGAP6,0.016666666666666666
ST8SIA4,0.014285714285714285
LINC01013,0.013333333333333334
OR2L13,0.013333333333333334
RP11-893F2.5,0.011428571428571429
CMTM8,0.011428571428571429
CDH19,0.011428571428571429
CTD-2278I10.6,0.011428571428571429
VWA3B,0.010476190476190476
ATP10A,0.010476190476190476
CD2,0.01
RERG,0.009523809523809525
CDCA3,0.009523809523809525
STRA6,0.009047619047619047
DTHD1,0.008095238095238095
EXTL1,0.008095238095238095
HECW2,0.007619047619047619
PI3,0.007619047619047619
CNTN5,0.007142857142857143
RP11-160E2.11,0.007142857142857143
NFKBIA,0.007142857142857143
GLRA2,0.007142857142857143
CTD-2332E11.2,0.006666666666666667
TGM3,0.006666666666666667
APOE,0.006666666666666667
AC003991.3,0.006666666666666667
FILIP1,0.006666666666666667
LEFTY2,0.006666666666666667
MICAL2,0.006666666666666667
GALNT10,0.006190476190476191
TNFSF8,0.006190476190476191
NFATC2,0.006190476190476191
TLL1,0.006190476190476191
LRAT,0.005714285714285714
HS3ST1,0.005714285714285714
EPHA7,0.005714285714285714
DAPK1,0.005714285714285714
AJAP1,0.005714285714285714
LPIN1,0.005714285714285714
HMMR-AS1,0.005238095238095238
RIT2,0.005238095238095238
RUNX2,0.005238095238095238
MT-ND6,0.004761904761904762
S100A4,0.004761904761904762
ABLIM3,0.004285714285714286
FOS,0.004285714285714286
BTBD11,0.004285714285714286
CCDC85A,0.004285714285714286
ATP10B,0.004285714285714286
FSTL4,0.004285714285714286
ZDHHC9,0.0038095238095238095
RP11-25H12.1,0.0038095238095238095
ANXA1,0.0038095238095238095
MOCS1,0.0038095238095238095
GALNT18,0.0038095238095238095
IQGAP3,0.0038095238095238095
NR5A2,0.0038095238095238095
VEGFC,0.0033333333333333335
ITPKB,0.0033333333333333335
TMEM132E,0.0033333333333333335
GAD1,0.0033333333333333335
CA8,0.0033333333333333335
CLDN22,0.0033333333333333335
SYNM,0.0033333333333333335
VCAM1,0.0033333333333333335
ZNF347,0.002857142857142857
CXCL1,0.002857142857142857
TM6SF1,0.002857142857142857
EMP1,0.002857142857142857
PDE4C,0.002857142857142857
EFNA5,0.002857142857142857
UFD1L,0.002857142857142857
GMPR,0.002857142857142857
RP1-149A16.12,0.002857142857142857
TMEM132C,0.002857142857142857
GGT2,0.002857142857142857
C5AR1,0.002857142857142857
LINC01127,0.002857142857142857
CD81,0.002857142857142857
CCDC150,0.002380952380952381
TEAD2,0.002380952380952381
DOCK5,0.002380952380952381
AC073115.6,0.002380952380952381
GJA1,0.002380952380952381
PAWR,0.002380952380952381
RP11-244M2.1,0.002380952380952381
HPDL,0.002380952380952381
CTD-2277K2.1,0.002380952380952381
DNASE1L1,0.002380952380952381
RANBP17,0.002380952380952381
SPRY1,0.0019047619047619048
GFPT2,0.0019047619047619048
ADAMTS1,0.0019047619047619048
LDLR,0.0019047619047619048
COL2A1,0.0019047619047619048
NOVA2,0.0019047619047619048
PLCZ1,0.0019047619047619048
LINC01568,0.0019047619047619048
RP11-187O7.3,0.0019047619047619048
REPS2,0.0019047619047619048
RP11-260O18.1,0.0019047619047619048
NR4A1,0.0019047619047619048
RP4-545C24.1,0.0019047619047619048
TSHR,0.0019047619047619048
DDX1,0.0019047619047619048
POU2F3,0.0014285714285714286
MYO1D,0.0014285714285714286
MAOB,0.0014285714285714286
COL8A1,0.0014285714285714286
NABP1,0.0014285714285714286
CPT1A,0.0014285714285714286
CLMP,0.0014285714285714286
