gene,beta_693,or_693,p_raw_693,q_bh_joint_693,log2fc_693,direction_693,direction_325,p_raw_325,covariates_used,passes_raw_p,passes_fdr,passes_effect_size,direction_matches_discovery,supportive_contradicts,REPLICATES
EGFR,0.0007814025394918874,1.0007817079139911,0.987467962528274,0.9874679625282741,0.0007250459114587215,1,-1,0.3379349558926239,idh_status,False,False,False,True,False,False
CHI3L1,0.10624923607575594,1.1120990171632612,0.029691913483135064,0.21774069887632377,0.6079830668627686,1,-1,0.7313369971283605,idh_status,True,False,True,True,False,False
CD44,0.21670975731371966,1.2419835731712539,0.0029625727199454623,0.032588299919400085,0.7214372680987058,1,-1,0.2574095594513667,idh_status,True,True,True,True,False,True
GFAP,0.1034010807739435,1.108936092839362,0.24738006266366253,0.6292233675477852,0.23958975843077823,1,-1,0.14922984329264963,idh_status,False,False,False,True,False,False
PDGFRA,-0.022639483119246788,0.9776148669118224,0.673203748279479,0.9301088437527176,-0.06648221199612614,-1,1,0.4446219818049828,idh_status,False,False,False,False,False,False
OLIG1,0.05430878543686732,1.0558105707536511,0.37064082708478185,0.7412816541695637,0.3615276364379163,1,-1,0.05738099209474821,idh_status,False,False,True,True,False,False
AQP4,0.08035948158965563,1.083676559435464,0.23014642068540303,0.6292233675477852,0.27195391607093455,1,-1,0.7296351663391003,idh_status,False,False,True,True,False,False
SOX4,-0.01237171979524883,0.9877044953023807,0.8805284845375805,0.9301088437527176,0.052362528219362936,-1,-1,0.4404770631045809,idh_status,False,False,False,False,False,False
DLL3,-0.028222890497278604,0.9721716548270397,0.626383190861252,0.9301088437527176,0.0034628514795596033,-1,-1,0.244615041713949,idh_status,False,False,False,False,False,False
VIM,0.24815531554507247,1.2816589782989554,0.0004199639212189525,0.009239206266816955,0.9771392678008208,1,1,0.8005441177064303,idh_status,True,True,True,True,False,True
MKI67,0.0103627391338701,1.0104166182660155,0.887831169036685,0.9301088437527176,0.05774259680798455,1,-1,0.8609212304017357,idh_status,False,False,False,True,False,False
