n_selected_adjusted,n_tested_adjusted,rate_adjusted,n_selected_unadjusted,n_tested_unadjusted,rate_unadjusted,resample,delta_R
86,83,0.25301204819277107,83,75,0.17333333333333334,0,0.07967871485943773
83,74,0.25675675675675674,85,76,0.25,1,0.006756756756756743
91,84,0.2619047619047619,85,78,0.2692307692307692,2,-0.0073260073260073
87,82,0.34146341463414637,89,82,0.2804878048780488,3,0.06097560975609756
98,89,0.21348314606741572,97,87,0.25287356321839083,4,-0.039390417150975104
81,75,0.16,77,69,0.13043478260869565,5,0.029565217391304355
92,84,0.30952380952380953,90,81,0.2716049382716049,6,0.03791887125220461
98,91,0.23076923076923078,95,87,0.20689655172413793,7,0.023872679045092854
94,89,0.29213483146067415,102,95,0.3157894736842105,8,-0.02365464222353636
107,99,0.25252525252525254,92,84,0.2261904761904762,9,0.02633477633477635
87,76,0.25,85,75,0.24,10,0.010000000000000009
77,69,0.30434782608695654,75,68,0.29411764705882354,11,0.010230179028133002
89,85,0.25882352941176473,97,89,0.21348314606741572,12,0.045340383344349006
83,80,0.3,87,84,0.23809523809523808,13,0.06190476190476191
93,84,0.23809523809523808,93,84,0.20238095238095238,14,0.0357142857142857
113,103,0.30097087378640774,101,91,0.26373626373626374,15,0.037234610050144
82,76,0.23684210526315788,81,74,0.17567567567567569,16,0.061166429587482196
70,64,0.296875,75,67,0.26865671641791045,17,0.028218283582089554
69,64,0.296875,67,62,0.1935483870967742,18,0.10332661290322581
75,70,0.34285714285714286,77,71,0.2676056338028169,19,0.07525150905432598
100,94,0.2765957446808511,89,82,0.2073170731707317,20,0.06927867151011938
71,64,0.3125,63,58,0.2413793103448276,21,0.0711206896551724
92,87,0.28735632183908044,90,83,0.24096385542168675,22,0.046392466417393696
105,96,0.3020833333333333,102,91,0.2967032967032967,23,0.005380036630036611
94,87,0.2988505747126437,96,87,0.3103448275862069,24,-0.011494252873563204
95,89,0.29213483146067415,85,79,0.2911392405063291,25,0.000995590954345038
77,71,0.2535211267605634,77,73,0.1917808219178082,26,0.06174030484275517
80,78,0.3717948717948718,73,68,0.29411764705882354,27,0.07767722473604827
91,82,0.21951219512195122,87,78,0.21794871794871795,28,0.0015634771732332686
90,81,0.2345679012345679,88,80,0.225,29,0.009567901234567883
