patient_id,timepoint,n_nuclei,n_metacells,method
2,Primary,435,14,kmeans_fallback:ImportError
2,Recurrent,462,15,kmeans_fallback:ImportError
5,Primary,244,8,kmeans_fallback:ImportError
5,Recurrent,150,5,kmeans_fallback:ImportError
6,Primary,3946,132,kmeans_fallback:ImportError
6,Recurrent,4208,140,kmeans_fallback:ImportError
7,Primary,583,19,kmeans_fallback:ImportError
7,Recurrent,1571,52,kmeans_fallback:ImportError
9,Primary,6451,215,kmeans_fallback:ImportError
9,Recurrent,1011,34,kmeans_fallback:ImportError
10,Primary,127,4,kmeans_fallback:ImportError
10,Recurrent,1872,62,kmeans_fallback:ImportError
11,Primary,2768,92,kmeans_fallback:ImportError
11,Recurrent,2966,99,kmeans_fallback:ImportError
12,Primary,1463,49,kmeans_fallback:ImportError
12,Recurrent,603,20,kmeans_fallback:ImportError
13,Primary,2199,73,kmeans_fallback:ImportError
13,Recurrent,1406,47,kmeans_fallback:ImportError
14,Primary,6127,204,kmeans_fallback:ImportError
14,Recurrent,485,16,kmeans_fallback:ImportError
19,Primary,493,16,kmeans_fallback:ImportError
19,Recurrent,113,4,kmeans_fallback:ImportError
20,Primary,3775,126,kmeans_fallback:ImportError
20,Recurrent,2103,70,kmeans_fallback:ImportError
23,Primary,167,6,kmeans_fallback:ImportError
23,Recurrent,2941,98,kmeans_fallback:ImportError
26,Primary,299,10,kmeans_fallback:ImportError
26,Recurrent,1659,55,kmeans_fallback:ImportError
27,Primary,3837,128,kmeans_fallback:ImportError
27,Recurrent,743,25,kmeans_fallback:ImportError
29,Primary,3606,120,kmeans_fallback:ImportError
29,Recurrent,245,8,kmeans_fallback:ImportError
30,Primary,478,16,kmeans_fallback:ImportError
30,Recurrent,889,30,kmeans_fallback:ImportError
31,Primary,1043,35,kmeans_fallback:ImportError
31,Recurrent,1636,55,kmeans_fallback:ImportError
32,Primary,2698,90,kmeans_fallback:ImportError
32,Recurrent,2616,87,kmeans_fallback:ImportError
33,Primary,2434,81,kmeans_fallback:ImportError
33,Recurrent,1241,41,kmeans_fallback:ImportError
36,Primary,155,5,kmeans_fallback:ImportError
36,Recurrent,609,20,kmeans_fallback:ImportError
