metacell_id,patient_id,O_transport_mass,source_marginal,transport_cost_diagnostic
2_P_mc000,2,0.06896551724137931,0.06896551724137931,0.3941583783069948
2_P_mc001,2,0.0367816091954023,0.0367816091954023,0.32689565805701715
2_P_mc002,2,0.08275862068965519,0.08275862068965517,0.6662613518464864
2_P_mc003,2,0.059770114942528735,0.059770114942528735,0.4519624104064932
2_P_mc004,2,0.08045977011494253,0.08045977011494253,0.4965667146293052
2_P_mc005,2,0.06206896551724138,0.06206896551724138,0.5326502915383646
2_P_mc006,2,0.07586206896551723,0.07586206896551724,0.5522765757298913
2_P_mc007,2,0.09655172413793103,0.09655172413793103,1.0683787258574502
2_P_mc008,2,0.057471264367816105,0.05747126436781609,0.624609002134298
2_P_mc009,2,0.06436781609195402,0.06436781609195402,0.4265023398754275
2_P_mc010,2,0.08275862068965519,0.08275862068965517,0.8678731313338995
2_P_mc011,2,0.06206896551724138,0.06206896551724138,0.46529525273841665
2_P_mc012,2,0.06666666666666668,0.06666666666666667,1.0416386050148152
2_P_mc013,2,0.10344827586206896,0.10344827586206896,0.8293607616977803
5_P_mc000,5,0.10655737704918032,0.10655737704918032,1.173023707431434
5_P_mc001,5,0.14344262295081964,0.14344262295081966,2.529371510766045
5_P_mc002,5,0.14754098360655737,0.14754098360655737,1.4685383435215802
5_P_mc003,5,0.16393442622950818,0.16393442622950818,1.9064856899285534
5_P_mc004,5,0.12704918032786885,0.12704918032786885,3.4759031697656324
5_P_mc005,5,0.0860655737704918,0.0860655737704918,1.2468983317563804
5_P_mc006,5,0.13524590163934427,0.13524590163934427,2.243187921171663
5_P_mc007,5,0.09016393442622951,0.09016393442622951,0.9721066248115124
6_P_mc000,6,0.006082108464267615,0.006082108464267613,0.20559671900444554
6_P_mc001,6,0.00456158134820071,0.00456158134820071,0.1214003793408358
6_P_mc002,6,0.014445007602635573,0.01444500760263558,0.34380104546051876
6_P_mc003,6,0.003547896604156108,0.0035478966041561076,0.04915495242753648
6_P_mc004,6,0.012164216928535226,0.012164216928535226,0.22465623670508722
6_P_mc005,6,0.00456158134820071,0.00456158134820071,0.14905073773081723
6_P_mc006,6,0.007856056766345673,0.007856056766345666,0.19149938973815234
6_P_mc007,6,0.006082108464267615,0.006082108464267613,0.17782636012465497
6_P_mc008,6,0.0060821084642676115,0.006082108464267613,0.2154302384941928
6_P_mc009,6,0.006842372022301061,0.006842372022301064,0.20694419443170037
6_P_mc010,6,0.004308160162189559,0.004308160162189559,0.0932934803513598
6_P_mc011,6,0.008362899138367968,0.008362899138367968,0.1561223781123467
6_P_mc012,6,0.006842372022301063,0.006842372022301064,0.2165201152142882
6_P_mc013,6,0.01140395337050178,0.011403953370501775,0.24242994104124055
6_P_mc014,6,0.014698428788646734,0.01469842878864673,0.27164588685946073
6_P_mc015,6,0.007095793208312215,0.007095793208312215,0.1322849034088066
6_P_mc016,6,0.008109477952356817,0.008109477952356817,0.229911311647433
6_P_mc017,6,0.005828687278256464,0.005828687278256462,0.14518977619406007
6_P_mc018,6,0.0027876330461226563,0.002787633046122656,0.08346051624730651
6_P_mc019,6,0.00658895083628992,0.006588950836289914,0.15714709792294246
6_P_mc020,6,0.004561581348200712,0.00456158134820071,0.12246900193428793
6_P_mc021,6,0.005575266092245311,0.005575266092245312,0.16843401351954027
6_P_mc022,6,0.011910795742524082,0.011910795742524075,0.22385245178743646
6_P_mc023,6,0.005828687278256465,0.005828687278256462,0.13882830455534226
6_P_mc024,6,0.014951849974657882,0.014951849974657882,0.3040528748631348
6_P_mc025,6,0.008616320324379121,0.008616320324379118,0.22997768945296676
6_P_mc026,6,0.006335529650278762,0.0063355296502787635,0.19399745085667874
6_P_mc027,6,0.007602635580334517,0.007602635580334516,0.15860092707942422
6_P_mc028,6,0.007602635580334516,0.007602635580334516,0.15732578447285528
6_P_mc029,6,0.004815002534211859,0.00481500253421186,0.05471217259069551
6_P_mc030,6,0.004561581348200706,0.00456158134820071,0.1742198316480162
6_P_mc031,6,0.0058286872782564655,0.005828687278256462,0.1382107389260119
6_P_mc032,6,0.004054738976178409,0.0040547389761784085,0.1238157354712386
6_P_mc033,6,0.006335529650278764,0.0063355296502787635,0.10865088177050265
6_P_mc034,6,0.015458692346680179,0.015458692346680182,0.23761119279998758
6_P_mc035,6,0.008869741510390265,0.008869741510390269,0.23424695288098435
6_P_mc036,6,0.004561581348200709,0.00456158134820071,0.16314274675155996
6_P_mc037,6,0.00963000506842372,0.00963000506842372,0.24520098068519103
6_P_mc038,6,0.004815002534211859,0.00481500253421186,0.09585490052797108
6_P_mc039,6,0.010390268626457172,0.010390268626457172,0.2159504968645128
6_P_mc040,6,0.0063355296502787635,0.0063355296502787635,0.14458670935645193
6_P_mc041,6,0.00456158134820071,0.00456158134820071,0.10044662862615694
6_P_mc042,6,0.011150532184490632,0.011150532184490624,0.3341578897188531
6_P_mc043,6,0.012164216928535221,0.012164216928535226,0.2431101514859284
6_P_mc044,6,0.006082108464267617,0.006082108464267613,0.15190501424648628
6_P_mc045,6,0.005828687278256462,0.005828687278256462,0.14717544999840626
6_P_mc046,6,0.008362899138367966,0.008362899138367968,0.09808078713257568
6_P_mc047,6,0.0032944754181449573,0.003294475418144957,0.08956377205625816
6_P_mc048,6,0.007856056766345664,0.007856056766345666,0.2124500756381193
6_P_mc049,6,0.003294475418144956,0.003294475418144957,0.07910381299557526
6_P_mc050,6,0.008109477952356815,0.008109477952356817,0.16276621151046172
6_P_mc051,6,0.013938165230613277,0.013938165230613279,0.14275951544183105
6_P_mc052,6,0.01089711099847947,0.010897110998479472,0.25266260666334
6_P_mc053,6,0.002534211860111505,0.002534211860111505,0.06315562758625014
6_P_mc054,6,0.007856056766345664,0.007856056766345666,0.1696672256402414
6_P_mc055,6,0.009630005068423719,0.00963000506842372,0.1418731146567357
6_P_mc056,6,0.007349214394323365,0.007349214394323365,0.08282648497880639
6_P_mc057,6,0.014445007602635576,0.01444500760263558,0.26790254991671547
6_P_mc058,6,0.016979219462747094,0.016979219462747084,0.3166770795028796
6_P_mc059,6,0.009630005068423724,0.00963000506842372,0.26767970147780357
6_P_mc060,6,0.007349214394323368,0.007349214394323365,0.13731106761423584
6_P_mc061,6,0.003041054232133806,0.0030410542321338066,0.0775655542145592
6_P_mc062,6,0.005575266092245314,0.005575266092245312,0.14887572471879462
6_P_mc063,6,0.004561581348200707,0.00456158134820071,0.1183364964938049
6_P_mc064,6,0.010390268626457172,0.010390268626457172,0.3058641729864505
6_P_mc065,6,0.005068423720223009,0.00506842372022301,0.11444807102065531
6_P_mc066,6,0.010897110998479472,0.010897110998479472,0.11032587931256566
6_P_mc067,6,0.01976685250886974,0.019766852508869743,0.24077570801653964
6_P_mc068,6,0.011910795742524075,0.011910795742524075,0.11616335161755256
6_P_mc069,6,0.010390268626457167,0.010390268626457172,0.15195528841802552
6_P_mc070,6,0.012417638114546376,0.012417638114546376,0.2765281693619115
6_P_mc071,6,0.008869741510390269,0.008869741510390269,0.10741127396554606
6_P_mc072,6,0.006842372022301064,0.006842372022301064,0.1279004016249363
6_P_mc073,6,0.00405473897617841,0.0040547389761784085,0.14050856142614132
6_P_mc074,6,0.007095793208312213,0.007095793208312215,0.16634542010841596
6_P_mc075,6,0.016472377090724778,0.016472377090724785,0.3058278011953491
6_P_mc076,6,0.00810947795235681,0.008109477952356817,0.21618396592173045
6_P_mc077,6,0.0073492143943233645,0.007349214394323365,0.18212390088655128
6_P_mc078,6,0.00506842372022301,0.00506842372022301,0.04906650175621055
6_P_mc079,6,0.005068423720223007,0.00506842372022301,0.11379034077027528
6_P_mc080,6,0.01165737455651292,0.011657374556512924,0.3210374502547773
6_P_mc081,6,0.00734921439432337,0.007349214394323365,0.19296126877388534
6_P_mc082,6,0.010136847440446023,0.01013684744044602,0.2939571457393202
6_P_mc083,6,0.010643689812468325,0.010643689812468323,0.31825331142091823
6_P_mc084,6,0.007349214394323365,0.007349214394323365,0.13545388738761405
6_P_mc085,6,0.009123162696401416,0.00912316269640142,0.1260211981789996
6_P_mc086,6,0.008869741510390263,0.008869741510390269,0.22816440673320143
6_P_mc087,6,0.011657374556512919,0.011657374556512924,0.18921484128507207
6_P_mc088,6,0.004815002534211858,0.00481500253421186,0.1009652039850034
6_P_mc089,6,0.00963000506842372,0.00963000506842372,0.21140030699258477
6_P_mc090,6,0.006588950836289912,0.006588950836289914,0.14123307875642416
6_P_mc091,6,0.004561581348200713,0.00456158134820071,0.11157923119570673
6_P_mc092,6,0.005321844906234164,0.0053218449062341616,0.11342274429556631
6_P_mc093,6,0.008616320324379116,0.008616320324379118,0.1420381943011192
6_P_mc094,6,0.004308160162189559,0.004308160162189559,0.06720510620417129
6_P_mc095,6,0.010643689812468321,0.010643689812468323,0.2040763590868029
6_P_mc096,6,0.0050684237202230096,0.00506842372022301,0.05585672992533516
6_P_mc097,6,0.007095793208312219,0.007095793208312215,0.15483117892019996
6_P_mc098,6,0.007095793208312218,0.007095793208312215,0.20052798699653487
6_P_mc099,6,0.008616320324379118,0.008616320324379118,0.18829928585264652
6_P_mc100,6,0.006082108464267613,0.006082108464267613,0.20143078741743198
6_P_mc101,6,0.008362899138367968,0.008362899138367968,0.23672076539734094
6_P_mc102,6,0.009123162696401416,0.00912316269640142,0.2766885077768285
6_P_mc103,6,0.007349214394323364,0.007349214394323365,0.09508607668856606
6_P_mc104,6,0.005575266092245312,0.005575266092245312,0.13514979888244733
6_P_mc105,6,0.008109477952356815,0.008109477952356817,0.16881012575636403
6_P_mc106,6,0.004054738976178408,0.0040547389761784085,0.03798295435538818
6_P_mc107,6,0.004054738976178409,0.0040547389761784085,0.09829462325091716
6_P_mc108,6,0.003294475418144957,0.003294475418144957,0.07356214699170865
6_P_mc109,6,0.00861632032437912,0.008616320324379118,0.2224537234289129
6_P_mc110,6,0.006842372022301064,0.006842372022301064,0.1579776815105527
