arm,heldout_patient,alpha,n_train_metacells,n_test_metacells,n_features,n_selected_any,n_fits
v1_tierA,10,0.19764071544145925,1405,4,2000,259,100
v1_tierA,11,0.04578326088824477,1317,92,2000,859,100
v1_tierA,12,0.042554489153374724,1360,49,2000,958,100
v1_tierA,13,0.09701958980425886,1336,73,2000,480,100
v1_tierA,14,0.04540679072953295,1220,189,2000,930,100
v1_tierA,19,0.18670514898810858,1393,16,2000,248,100
v1_tierA,2,0.19928150950310938,1395,14,2000,252,100
v1_tierA,20,0.05031124710316235,1291,118,2000,766,100
v1_tierA,23,0.1976190508548061,1403,6,2000,243,100
v1_tierA,26,0.19794523635115166,1399,10,2000,239,100
v1_tierA,27,0.022231897732777367,1283,126,2000,1337,100
v1_tierA,29,0.04239965923764825,1289,120,2000,942,100
v1_tierA,30,0.19880846759115456,1393,16,2000,250,100
v1_tierA,31,0.02005019630364864,1374,35,2000,1433,100
v1_tierA,32,0.09468861701488505,1319,90,2000,458,100
v1_tierA,33,0.04363905013020819,1328,81,2000,910,100
v1_tierA,36,0.1972316596704531,1404,5,2000,263,100
v1_tierA,5,0.1981128839714317,1401,8,2000,257,100
v1_tierA,6,0.0875308796483719,1277,132,2000,495,100
v1_tierA,7,0.1974908075185483,1390,19,2000,239,100
v1_tierA,9,0.019338301703008563,1203,206,2000,1476,100
v1_tierC,10,0.45110522675379466,1405,4,2000,38,100
v1_tierC,11,0.24457550560405877,1317,92,2000,113,100
v1_tierC,12,0.21137726898428807,1360,49,2000,140,100
v1_tierC,13,0.21583356268732828,1336,73,2000,144,100
v1_tierC,14,0.2183767392917896,1220,189,2000,120,100
v1_tierC,19,0.16748633550824932,1393,16,2000,148,100
v1_tierC,2,0.45231348128528365,1395,14,2000,34,100
v1_tierC,20,0.4943103716018972,1291,118,2000,17,100
v1_tierC,23,0.44830083911071167,1403,6,2000,29,100
v1_tierC,26,0.45263930097279487,1399,10,2000,30,100
v1_tierC,27,0.047646113832553814,1283,126,2000,707,100
v1_tierC,29,0.04767819089716563,1289,120,2000,704,100
v1_tierC,30,0.4526785823973133,1393,16,2000,35,100
v1_tierC,31,0.4569101841213849,1374,35,2000,33,100
v1_tierC,32,0.099511237030785,1319,90,2000,321,100
v1_tierC,33,0.1005787561566104,1328,81,2000,332,100
v1_tierC,36,0.4515772678961666,1404,5,2000,32,100
v1_tierC,5,0.45359318665175824,1401,8,2000,35,100
v1_tierC,6,0.4757205212151645,1277,132,2000,39,100
v1_tierC,7,0.4504591686720958,1390,19,2000,34,100
v1_tierC,9,0.47783789772197977,1203,206,2000,27,100
v2_tierA,10,0.17950084380267695,1405,4,2000,125,100
v2_tierA,11,0.1904790211989285,1317,92,2000,105,100
v2_tierA,12,0.17990475829283786,1360,49,2000,121,100
v2_tierA,13,0.1837746666036719,1336,73,2000,110,100
v2_tierA,14,0.14403204967354047,1220,189,2000,173,100
v2_tierA,19,0.1783800441455293,1393,16,2000,104,100
v2_tierA,2,0.17950023989875563,1395,14,2000,115,100
v2_tierA,20,0.1899832966260544,1291,118,2000,109,100
v2_tierA,23,0.17950016144860115,1403,6,2000,103,100
v2_tierA,26,0.17993033577024872,1399,10,2000,100,100
v2_tierA,27,0.19392311641310025,1283,126,2000,82,100
v2_tierA,29,0.19342995705370228,1289,120,2000,93,100
v2_tierA,30,0.18051324450402823,1393,16,2000,95,100
v2_tierA,31,0.18104934346698043,1374,35,2000,102,100
v2_tierA,32,0.18276257216409755,1319,90,2000,104,100
v2_tierA,33,0.1803400992002473,1328,81,2000,97,100
v2_tierA,36,0.17950955359462548,1404,5,2000,105,100
v2_tierA,5,0.17879639915084827,1401,8,2000,101,100
v2_tierA,6,0.18888026033620323,1277,132,2000,93,100
v2_tierA,7,0.18058814781661353,1390,19,2000,88,100
v2_tierA,9,0.20075206061629536,1203,206,2000,99,100
v2_tierC,10,0.08633181696065047,1405,4,2000,89,100
v2_tierC,11,0.08921575412126709,1317,92,2000,101,100
v2_tierC,12,0.08958194174698411,1360,49,2000,96,100
v2_tierC,13,0.08852358526983208,1336,73,2000,96,100
v2_tierC,14,0.09270247222251347,1220,189,2000,97,100
v2_tierC,19,0.060153835667266065,1393,16,2000,166,100
v2_tierC,2,0.08663738306307214,1395,14,2000,83,100
v2_tierC,20,0.08988184484622447,1291,118,2000,71,100
v2_tierC,23,0.0863975165145131,1403,6,2000,78,100
v2_tierC,26,0.08650251809230938,1399,10,2000,75,100
v2_tierC,27,0.09031936696700342,1283,126,2000,85,100
v2_tierC,29,0.09020552670714337,1289,120,2000,77,100
v2_tierC,30,0.08670771730494391,1393,16,2000,76,100
v2_tierC,31,0.08730012202623566,1374,35,2000,82,100
v2_tierC,32,0.08906982371775927,1319,90,2000,79,100
v2_tierC,33,0.08881233983503979,1328,81,2000,86,100
v2_tierC,36,0.08636719030364304,1404,5,2000,88,100
v2_tierC,5,0.08645379483061867,1401,8,2000,94,100
v2_tierC,6,0.09057179030297376,1277,132,2000,90,100
v2_tierC,7,0.08676208874183454,1390,19,2000,52,100
v2_tierC,9,0.09338498268611578,1203,206,2000,77,100
v3_tierA,10,0.26286300533133306,1405,4,2000,274,100
v3_tierA,11,0.06199089944244757,1317,92,2000,912,100
v3_tierA,12,0.05833837031449189,1360,49,2000,976,100
v3_tierA,13,0.12240869061391269,1336,73,2000,530,100
v3_tierA,14,0.025938285699035713,1220,189,2000,1461,100
v3_tierA,19,0.2737611205699342,1393,16,2000,260,100
v3_tierA,2,0.26104876084221246,1395,14,2000,273,100
v3_tierA,20,0.05531877436255414,1291,118,2000,932,100
v3_tierA,23,0.2569874987868364,1403,6,2000,264,100
v3_tierA,26,0.26444732317093156,1399,10,2000,255,100
v3_tierA,27,0.03123568006271648,1283,126,2000,1318,100
v3_tierA,29,0.060002265353115466,1289,120,2000,917,100
v3_tierA,30,0.12314233640517615,1393,16,2000,512,100
v3_tierA,31,0.026784568157187248,1374,35,2000,1434,100
v3_tierA,32,0.13390672481119215,1319,90,2000,457,100
