patient_id,chr7_mean_malignant,chr7_mean_reference,chr7_delta,chr7_clones_observed,chr7_clones_null,chr9p_mean_malignant,chr9p_mean_reference,chr9p_delta,chr9p_clones_observed,chr9p_clones_null,chr10_mean_malignant,chr10_mean_reference,chr10_delta,chr10_clones_observed,chr10_clones_null
2,0.07819999117080476,0.003858959888205004,0.07434103128259975,13,14,0.005286453142413981,0.001113241231420052,0.004173211910993929,7,16,-0.04092736158162656,0.0034535158106183154,-0.044380877392244875,11,12
5,0.027212624736717074,0.004133830171681578,0.023078794565035497,8,8,-0.0018039343999646247,0.0014643309417105973,-0.003268265341675222,6,12,-0.004572741405869853,0.003244449105365435,-0.007817190511235288,7,10
6,0.07316501766230242,0.008623445599514818,0.0645415720627876,12,14,0.0007340158730815398,0.0006863824490845014,4.7633423997038376e-05,6,24,-0.01768633070607592,0.0007535552646220327,-0.018439885970697952,14,12
7,0.06484839226286306,0.004901474407481307,0.05994691785538175,12,16,-0.007706316425421916,0.004216628285966221,-0.011922944711388137,16,22,-0.03981155744268444,0.005821316702353947,-0.04563287414503839,13,16
9,0.14355729422977911,0.003065935115834253,0.14049135911394486,11,16,-0.009442392166869573,0.0010691233316058159,-0.010511515498475388,10,17,-0.026691433705012497,0.0031761819945602602,-0.029867615699572757,17,14
10,0.03235921356716717,0.005274241373072362,0.02708497219409481,11,14,0.0025601294958554678,0.0042834837261786895,-0.0017233542303232217,9,22,-0.0032217959951790173,0.004228894713045444,-0.007450690708224461,14,15
11,0.028660772884314407,0.0053286388524413095,0.0233321340318731,16,11,0.007978756231304696,0.0033210840210740576,0.004657672210230638,10,23,-0.01308370205005511,0.005501352384416127,-0.018585054434471237,14,9
12,0.09225527727830798,0.0039449622025067065,0.08831031507580128,12,15,0.011678245577228895,0.003062247482996314,0.008615998094232582,16,24,-0.05739411301532571,0.005464963044208124,-0.06285907605953384,13,14
13,0.03580079609273375,0.00537560286171588,0.030425193231017868,15,13,0.0007738036578257245,0.005711354086058464,-0.00493755042823274,8,20,-0.0156417258325466,0.005529392807673301,-0.0211711186402199,14,13
14,0.0796046530103657,0.002625660200411888,0.07697899280995382,13,14,0.022711026919973596,0.0026400771063190484,0.020070949813654548,16,19,-0.06916609230310217,0.0027411854305235493,-0.07190727773362572,12,14
19,0.09211568489054209,0.0007682200364102403,0.09134746485413185,10,13,-0.04315515056017522,0.0012892476231520626,-0.04444439818332729,13,14,-0.028156398917030073,0.0029043932044470803,-0.03106079212147715,10,11
20,0.04408817623186635,0.0053719049690809,0.03871627126278545,12,16,-0.00587192255624951,0.003940378698146014,-0.009812301254395524,14,21,-0.010023783585973629,0.004874526764762769,-0.014898310350736398,13,14
23,0.0833577809128408,0.005045248327929957,0.07831253258491083,12,16,0.010694412159577952,0.0026000603280292045,0.008094351831548748,11,19,-0.04293188260154658,0.005353095435744978,-0.04828497803729156,12,14
26,0.03687448499541688,0.0036831301568468334,0.033191354838570046,17,15,0.002902794573520932,0.003677571397878473,-0.000774776824357541,13,20,-0.015378716453881345,0.004877985644228311,-0.020256702098109654,15,14
27,0.06823414135653504,0.0048150901207620255,0.06341905123577302,12,14,0.016443522316462345,0.004099882085574994,0.01234364023088735,12,18,-0.05329112336818657,0.003605316330901502,-0.05689643969908807,15,15
29,0.07162092846902492,0.004448304348026587,0.06717262412099834,16,14,0.010835907865198793,0.0026422546587739036,0.00819365320642489,10,21,-0.031220004254775377,0.0044364760712935864,-0.03565648032606896,11,15
30,0.07371008907505894,0.005387708058504516,0.06832238101655443,11,15,-0.012610566718719044,0.0038597658003640847,-0.016470332519083128,14,20,-0.03027168994511182,0.005620689242290668,-0.035892379187402484,11,13
31,0.06183672350571647,0.0035910201340954443,0.05824570337162103,12,14,0.005803028198124581,0.0027523092925035146,0.0030507189056210664,9,19,-0.018002783045226796,0.002897302868989204,-0.020900085914216,14,14
32,0.04814715636911056,0.0059053656556400545,0.042241790713470506,14,15,0.01045714983850833,0.0027134234254985678,0.007743726413009761,11,25,-0.023135678108175097,0.0035884729087051533,-0.02672415101688025,16,13
33,0.07934346314988132,0.0033345186518110234,0.0760089444980703,14,18,0.0043904419119588445,0.0017532447240948667,0.002637197187863978,10,21,-0.032284894599875505,0.002682198171802101,-0.03496709277167761,13,14
36,0.08579820280301831,0.006181503320529253,0.07961669948248906,10,13,0.018072055321508726,0.0039013791791391,0.014170676142369627,10,11,-0.055706929008894124,0.005456381491039845,-0.06116331049993397,10,14
